===2023-07-29 07:28:16===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
denominator: 59876.89453125
 Site-MNIST                         | Train Loss: 2.2395 | Train Acc: 0.1667
 Site-MNIST                         | Train Loss: 2.2869 | Train Acc: 0.1667
 Site-MNIST                         | Train Loss: 2.2242 | Train Acc: 0.1905
 Site-MNIST                         | Train Loss: 2.2366 | Train Acc: 0.1842
 Site-MNIST                         | Train Loss: 2.2475 | Train Acc: 0.3286
 Site-MNIST                         | Train Loss: 2.2292 | Train Acc: 0.3175
 Site-MNIST                         | Train Loss: 2.2334 | Train Acc: 0.2863
 Site-MNIST                         | Train Loss: 2.2524 | Train Acc: 0.2103
 Site-MNIST                         | Train Loss: 2.2444 | Train Acc: 0.2364
 Site-MNIST                         | Train Loss: 2.2379 | Train Acc: 0.2709
 Site-USPS                          | Train Loss: 2.2063 | Train Acc: 0.3000
 Site-USPS                          | Train Loss: 2.1988 | Train Acc: 0.2639
 Site-USPS                          | Train Loss: 2.2187 | Train Acc: 0.3178
 Site-USPS                          | Train Loss: 2.2228 | Train Acc: 0.2833
 Site-USPS                          | Train Loss: 2.2212 | Train Acc: 0.3167
 Site-USPS                          | Train Loss: 2.2194 | Train Acc: 0.2976
 Site-SynthDigits                   | Train Loss: 2.3003 | Train Acc: 0.0927
 Site-SynthDigits                   | Train Loss: 2.2968 | Train Acc: 0.1099
 Site-SynthDigits                   | Train Loss: 2.2847 | Train Acc: 0.1324
 Site-MNIST_M                       | Train Loss: 2.2901 | Train Acc: 0.1271
 Site-MNIST_M                       | Train Loss: 2.3025 | Train Acc: 0.1284
 Site-SVHN                          | Train Loss: 2.2844 | Train Acc: 0.1667
Average Train Accuracy: 0.2225
 Site-MNIST                         | Val  Loss: 2.0574 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 2.1451 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 2.2120 | Val  Acc: 0.4000
 Site-MNIST                         | Val  Loss: 2.2533 | Val  Acc: 0.2222
 Site-MNIST                         | Val  Loss: 2.2421 | Val  Acc: 0.2941
 Site-MNIST                         | Val  Loss: 2.2610 | Val  Acc: 0.1935
 Site-MNIST                         | Val  Loss: 2.2518 | Val  Acc: 0.2143
 Site-MNIST                         | Val  Loss: 2.2432 | Val  Acc: 0.2451
 Site-MNIST                         | Val  Loss: 2.2506 | Val  Acc: 0.1967
 Site-MNIST                         | Val  Loss: 2.2448 | Val  Acc: 0.2175
 Site-USPS                          | Val  Loss: 2.2244 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 2.2520 | Val  Acc: 0.1111
 Site-USPS                          | Val  Loss: 2.2277 | Val  Acc: 0.2812
 Site-USPS                          | Val  Loss: 2.2578 | Val  Acc: 0.2414
