===2023-07-30 06:27:16===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.3137 | Train Acc: 0.7707
 Site-Clipart                       | Train Loss: 1.2914 | Train Acc: 0.8008
 Site-Real                          | Train Loss: 1.0559 | Train Acc: 0.8981
 Site-Real                          | Train Loss: 0.9666 | Train Acc: 0.9449
 Site-Painting                      | Train Loss: 1.2040 | Train Acc: 0.8153
 Site-Painting                      | Train Loss: 1.1750 | Train Acc: 0.8390
 Site-Sketch                        | Train Loss: 1.3890 | Train Acc: 0.6879
 Site-Sketch                        | Train Loss: 1.2219 | Train Acc: 0.7394
 Site-QuickDraw                     | Train Loss: 1.9311 | Train Acc: 0.4204
 Site-QuickDraw                     | Train Loss: 1.9421 | Train Acc: 0.3962
 Site-Infograph                     | Train Loss: 1.8395 | Train Acc: 0.4968
 Site-Infograph                     | Train Loss: 1.8104 | Train Acc: 0.5106
Average Train Accuracy: 0.6933
 Site-Clipart                       | Val  Loss: 1.3232 | Val  Acc: 0.7905
 Site-Clipart                       | Val  Loss: 1.3315 | Val  Acc: 0.7841
 Site-Real                          | Val  Loss: 0.9739 | Val  Acc: 0.9429
 Site-Real                          | Val  Loss: 0.9852 | Val  Acc: 0.9556
 Site-Painting                      | Val  Loss: 1.1008 | Val  Acc: 0.8762
 Site-Painting                      | Val  Loss: 1.1847 | Val  Acc: 0.8190
 Site-Sketch                        | Val  Loss: 1.2817 | Val  Acc: 0.7143
 Site-Sketch                        | Val  Loss: 1.2638 | Val  Acc: 0.7238
 Site-QuickDraw                     | Val  Loss: 1.9293 | Val  Acc: 0.4571
 Site-QuickDraw                     | Val  Loss: 1.9353 | Val  Acc: 0.4540
 Site-Infograph                     | Val  Loss: 1.8821 | Val  Acc: 0.4667
 Site-Infograph                     | Val  Loss: 1.8372 | Val  Acc: 0.5048
Average Valid Accuracy: 0.7074
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7905
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7841
 Best site-Real                      | Epoch:0 | Val Acc: 0.9429
 Best site-Real                      | Epoch:0 | Val Acc: 0.9556
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8762
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8190
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7143
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7238
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.4571
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.4540
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.4667
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.5048
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/fedsam...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 0.9315 | Train Acc: 0.8344
 Site-Clipart                       | Train Loss: 0.8392 | Train Acc: 0.8581
 Site-Real                          | Train Loss: 0.5443 | Train Acc: 0.9299
 Site-Real                          | Train Loss: 0.4519 | Train Acc: 0.9682
 Site-Painting                      | Train Loss: 0.6553 | Train Acc: 0.8599
 Site-Painting                      | Train Loss: 0.6958 | Train Acc: 0.8856
 Site-Sketch                        | Train Loss: 0.9114 | Train Acc: 0.7452
 Site-Sketch                        | Train Loss: 0.7918 | Train Acc: 0.8008
 Site-QuickDraw                     | Train Loss: 1.7233 | Train Acc: 0.4650
 Site-QuickDraw                     | Train Loss: 1.7189 | Train Acc: 0.4958
 Site-Infograph                     | Train Loss: 1.6868 | Train Acc: 0.4904
 Site-Infograph                     | Train Loss: 1.6086 | Train Acc: 0.5148
Average Train Accuracy: 0.7373
 Site-Clipart                       | Val  Loss: 0.8671 | Val  Acc: 0.8190
 Site-Clipart                       | Val  Loss: 0.8905 | Val  Acc: 0.8413
 Site-Real                          | Val  Loss: 0.4849 | Val  Acc: 0.9714
 Site-Real                          | Val  Loss: 0.4774 | Val  Acc: 0.9619
 Site-Painting                      | Val  Loss: 0.5923 | Val  Acc: 0.9048
 Site-Painting                      | Val  Loss: 0.7208 | Val  Acc: 0.8540
 Site-Sketch                        | Val  Loss: 0.7849 | Val  Acc: 0.8095
 Site-Sketch                        | Val  Loss: 0.8196 | Val  Acc: 0.8063
 Site-QuickDraw                     | Val  Loss: 1.6929 | Val  Acc: 0.4476
 Site-QuickDraw                     | Val  Loss: 1.7148 | Val  Acc: 0.5016
 Site-Infograph                     | Val  Loss: 1.7116 | Val  Acc: 0.4476
 Site-Infograph                     | Val  Loss: 1.6273 | Val  Acc: 0.5048
Average Valid Accuracy: 0.7392
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8190
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8413
 Best site-Real                      | Epoch:1 | Val Acc: 0.9714
 Best site-Real                      | Epoch:1 | Val Acc: 0.9619
 Best site-Painting                  | Epoch:1 | Val Acc: 0.9048
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8540
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.8095
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.8063
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.4476
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.5016
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.4476
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.5048
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/fedsam...
============ Train epoch 2 ============
 Site-Clipart                       | Train Loss: 0.6507 | Train Acc: 0.8599
 Site-Clipart                       | Train Loss: 0.6529 | Train Acc: 0.8729
 Site-Real                          | Train Loss: 0.3734 | Train Acc: 0.9236
 Site-Real                          | Train Loss: 0.2784 | Train Acc: 0.9788
 Site-Painting                      | Train Loss: 0.5581 | Train Acc: 0.8854
 Site-Painting                      | Train Loss: 0.5395 | Train Acc: 0.8856
 Site-Sketch                        | Train Loss: 0.7521 | Train Acc: 0.7898
 Site-Sketch                        | Train Loss: 0.6500 | Train Acc: 0.8136
 Site-QuickDraw                     | Train Loss: 1.5912 | Train Acc: 0.4522
 Site-QuickDraw                     | Train Loss: 1.5593 | Train Acc: 0.5148
 Site-Infograph                     | Train Loss: 1.5881 | Train Acc: 0.4650
 Site-Infograph                     | Train Loss: 1.4841 | Train Acc: 0.5297
Average Train Accuracy: 0.7476
 Site-Clipart                       | Val  Loss: 0.6648 | Val  Acc: 0.8381
 Site-Clipart                       | Val  Loss: 0.6747 | Val  Acc: 0.8825
 Site-Real                          | Val  Loss: 0.3351 | Val  Acc: 0.9810
 Site-Real                          | Val  Loss: 0.3156 | Val  Acc: 0.9714
 Site-Painting                      | Val  Loss: 0.4169 | Val  Acc: 0.9333
 Site-Painting                      | Val  Loss: 0.5535 | Val  Acc: 0.8762
 Site-Sketch                        | Val  Loss: 0.6256 | Val  Acc: 0.8000
 Site-Sketch                        | Val  Loss: 0.7089 | Val  Acc: 0.7841
 Site-QuickDraw                     | Val  Loss: 1.6184 | Val  Acc: 0.4286
 Site-QuickDraw                     | Val  Loss: 1.5614 | Val  Acc: 0.5270
 Site-Infograph                     | Val  Loss: 1.6586 | Val  Acc: 0.4762
 Site-Infograph                     | Val  Loss: 1.5127 | Val  Acc: 0.5111
Average Valid Accuracy: 0.7508
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8381
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8825
 Best site-Real                      | Epoch:2 | Val Acc: 0.9810
 Best site-Real                      | Epoch:2 | Val Acc: 0.9714
 Best site-Painting                  | Epoch:2 | Val Acc: 0.9333
 Best site-Painting                  | Epoch:2 | Val Acc: 0.8762
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.8000
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.7841
